node_1;node_2;distance;traveltime
105736;63825;18052;16246
105736;63827;19605;17644
105736;64005;12671;11404
105736;64007;13482;12134
105736;64009;13902;12512
105736;64013;16090;14481
105736;64015;16502;14852
105736;64017;17045;15341
105736;64019;17896;16106
105736;64021;18474;16626
105736;64023;19857;17871
105736;64476;10443;9399
105736;64478;9724;8751
105736;64480;9104;8194
105736;64482;8949;8054
105736;64484;9210;8289
105736;64486;9337;8403
105736;64488;9998;8998
105736;64490;11068;9961
105736;64500;9122;8210
105736;64501;17008;15307
105736;64503;17512;15761
105736;64505;18288;16459
105736;64507;19405;17464
105736;64555;10357;9321
105736;64559;12437;11193
105736;64561;12278;11051
105736;64562;11860;10674
105736;64567;11153;10038
105736;64571;10924;9831
105736;64573;10899;9809
105736;64579;11458;10312
105736;64583;11832;10649
105736;64585;11772;10595
105736;64591;10179;9161
105736;64723;19984;17986
105736;64725;19434;17491
105736;64727;18703;16832
105736;64729;15852;14266
105736;64731;14881;13393
105736;64735;12877;11590
105736;64737;11929;10736
105736;64739;10438;9394
105736;64741;12432;11189
105736;64743;9664;8698
105736;64892;10142;9128
105736;64894;10243;9219
105736;64900;10804;9723
105736;65001;11027;9924
105736;65003;10972;9875
105736;65004;11198;10078
105736;65007;11468;10321
105736;65009;11772;10595
105736;65011;11855;10669
105736;65015;12574;11316
105736;65017;12355;11119
105736;65019;13089;11780
105736;65021;13152;11837
105736;65023;12697;11428
105736;65025;12298;11068
105736;65029;11586;10428
105736;65031;11517;10365
105736;65035;10887;9799
105736;65037;11127;10014
105736;65039;10761;9685
105736;65042;9807;8827
105736;65046;9599;8639
105736;65053;10404;9364
105736;65055;10213;9192
105736;65061;11783;10605
105736;65069;12039;10835
105736;65071;12250;11025
105736;65073;12090;10881
105736;65109;18746;16871
105736;65111;19620;17658
105736;65113;19748;17773
105736;65133;19579;17621
105736;65135;19621;17659
105736;65137;19351;17416
105736;65139;18819;16937
105736;65141;18128;16315
105736;65143;17506;15756
105736;65145;16877;15189
105736;65147;16114;14503
105736;65299;14536;13083
105736;65301;13579;12221
105736;65303;15098;13588
105736;65305;15653;14088
105736;65307;16085;14476
105736;65309;16258;14632
105736;65310;16276;14648
105736;65311;16495;14846
105736;65313;17469;15722
105736;65315;17843;16059
105736;65317;18342;16508
105736;65319;19894;17905
105736;65327;19967;17970
105736;65350;18753;16878
105736;65357;19415;17473
105736;65359;18557;16701
105736;65361;17429;15686
105736;65363;16915;15224
105736;65403;18044;16239
105736;65409;19868;17881
105736;68810;19423;17481
105736;105061;19224;17302
105736;105077;18628;16766
105736;105100;19872;17885
105736;105101;18859;16973
105736;105185;17897;16107
105736;105241;18763;16886
105736;105261;19880;17892
105736;105262;17140;15426
105736;105284;17393;15654
105736;105299;18691;16822
105736;105319;18043;16238
105736;105320;16205;14585
105736;105321;18334;16500
105736;105339;15882;14294
105736;105340;16467;14820
105736;105359;19406;17465
105736;105383;14731;13258
105736;105384;17387;15648
105736;105403;18739;16865
105736;105404;14587;13129
105736;105405;15951;14356
105736;105424;15987;14388
105736;105425;15827;14244
105736;105426;16592;14932
105736;105427;19066;17159
105736;105428;19182;17264
105736;105451;16846;15161
105736;105453;15181;13662
105736;105454;17247;15522
105736;105476;16592;14933
105736;105478;11370;10233
105736;105479;12504;11254
105736;105480;14406;12965
105736;105506;19172;17255
105736;105507;17120;15408
105736;105508;16305;14675
105736;105509;13873;12485
105736;105511;18194;16375
105736;105533;19335;17401
105736;105534;18525;16672
105736;105536;9952;8957
105736;105538;12828;11545
105736;105559;8546;7691
105736;105560;13231;11908
105736;105576;14186;12767
105736;105577;12011;10810
105736;105578;14253;12828
105736;105593;6913;6222
105736;105594;6547;5893
105736;105595;11222;10100
105736;105611;19874;17887
105736;105613;6940;6246
105736;105628;15359;13823
105736;105629;6899;6209
105736;105630;5138;4624
105736;105631;9426;8484
105736;105642;19824;17841
105736;105643;9080;8172
105736;105644;7649;6884
105736;105645;7070;6363
105736;105646;8100;7290
105736;105660;16489;14840
105736;105661;8337;7504
105736;105662;5562;5006
105736;105678;9578;8620
105736;105680;7070;6363
105736;105691;9964;8968
105736;105692;9640;8676
105736;105693;4172;3755
105736;105694;6452;5807
105736;105708;6296;5666
105736;105709;5545;4991
105736;105718;6390;5751
105736;105719;2475;2228
105736;105722;5219;4697
105736;105733;18574;16716
105736;105734;14207;12787
105736;105735;6373;5736
105736;105737;4944;4450
105736;105738;17485;15736
105736;105749;7056;6350
105736;105750;3929;3536
105736;105752;3009;2708
105736;105753;4266;3839
105736;105763;8357;7521
105736;105764;7927;7134
105736;105765;3447;3102
105736;105775;11236;10112
105736;105776;9041;8136
105736;105777;8330;7497
105736;105778;3282;2954
105736;105779;4000;3600
105736;105789;10689;9620
105736;105790;10350;9315
105736;105791;4215;3793
105736;105792;3406;3066
105736;105807;10319;9287
105736;105808;4235;3811
105736;105809;4607;4146
105736;105810;5104;4593
105736;105811;3955;3560
105736;105821;10988;9889
105736;105822;10501;9451
105736;105823;10214;9193
105736;105824;5091;4582
105736;105825;5058;4552
105736;105826;6827;6144
105736;105832;12586;11328
105736;105833;11558;10402
105736;105834;8668;7801
105736;105836;5301;4770
105736;105837;7291;6561
105736;105845;11239;10115
105736;105846;9206;8285
105736;105847;5490;4941
105736;105848;6701;6031
105736;105857;10499;9449
105736;105858;9680;8712
105736;105859;6076;5468
105736;105860;7530;6777
105736;105877;9400;8460
105736;105878;6470;5823
105736;105892;9980;8982
105736;105893;8109;7298
105736;105894;7469;6722
105736;105895;6375;5737
105736;105896;6942;6248
105736;105907;9743;8768
105736;105908;11575;10418
105736;105909;8823;7941
105736;105923;10887;9799
105736;105924;10557;9502
105736;105925;8101;7291
105736;105932;14220;12798
105736;105933;12504;11254
105736;105934;9095;8186
105736;105938;12462;11216
105736;105939;11386;10247
105736;105940;9634;8670
105736;105946;12983;11685
105736;105947;9297;8367
105736;105955;13763;12386
105736;105956;12547;11292
105736;105957;9788;8809
105736;105958;11625;10462
105736;105964;14765;13288
105736;105965;15512;13961
105736;105966;11791;10612
105736;105967;10669;9602
105736;105972;14229;12806
105736;105973;15262;13736
105736;105974;12951;11655
105736;105975;11790;10611
105736;105982;12384;11145
105736;105987;14930;13437
105736;105988;12340;11106
105736;105989;12797;11517
105736;105993;15299;13769
105736;105994;15248;13723
105736;105995;14190;12771
105736;106013;14466;13020
105736;106020;17737;15963
105736;106029;18464;16618
105736;106030;17006;15305
105737;520;7766;6990
105737;525;18855;16969
105737;551;13502;12152
105737;552;18415;16574
105737;555;14374;12937
105737;60042;15613;14052
105737;62067;19921;17929
105737;62069;18879;16991
105737;62071;18476;16628
105737;62073;17909;16118
105737;62077;17833;16050
105737;62079;18002;16202
105737;62081;17729;15956
105737;62083;17478;15730
105737;62085;16757;15081
105737;62087;16396;14756
105737;62089;15887;14299
105737;62091;15626;14064
105737;62157;19759;17783
105737;62159;18777;16899
105737;62161;18281;16453
105737;62163;17475;15727
105737;62165;15653;14088
105737;62167;15170;13653
105737;62169;14606;13145
105737;62171;12815;11533
105737;62173;12368;11131
105737;62175;11971;10774
105737;62177;11194;10075
105737;62179;10511;9460
105737;62181;10391;9352
105737;62183;12106;10895
105737;62185;12620;11358
105737;62187;12377;11139
105737;62189;13462;12116
105737;62191;13739;12365
105737;62195;14153;12738
105737;62197;19563;17607
105737;62199;18309;16478
105737;62223;17890;16101
105737;62225;15865;14279
105737;62571;14628;13165
105737;62573;15316;13784
105737;63001;13637;12273
105737;63003;13233;11910
105737;63007;13408;12067
105737;63009;12657;11391
105737;63011;12225;11003
105737;63013;10894;9805
105737;63015;9981;8983
105737;63017;8620;7758
105737;63019;8025;7223
105737;63021;6950;6255
105737;63023;6278;5650
105737;63025;6575;5917
105737;63027;5158;4642
105737;63029;4385;3947
105737;63031;3863;3477
105737;63033;3328;2995
105737;63035;2916;2624
105737;63037;2571;2314
105737;63039;2414;2172
105737;63041;2663;2397
105737;63043;2864;2578
105737;63045;2842;2558
105737;63051;15879;14291
105737;63058;10082;9073
105737;63060;14849;13364
105737;63062;15440;13896
105737;63064;15400;13860
105737;63065;10548;9493
105737;63067;15982;14384
105737;63068;17386;15647
105737;63070;17494;15745
105737;63077;7404;6663
105737;63079;13028;11725
105737;63081;18050;16245
105737;63100;19503;17553
105737;63103;5671;5104
105737;63105;6146;5532
105737;63107;7320;6588
105737;63109;8600;7740
105737;63111;8294;7465
105737;63113;8890;8001
105737;63115;9853;8868
105737;63117;10437;9393
105737;63119;11064;9957
105737;63123;12447;11202
105737;63125;12813;11531
105737;63127;13490;12141
105737;63129;14044;12640
105737;63131;14358;12922
105737;63133;14877;13389
105737;63135;15864;14278
105737;63137;16650;14985
105737;63139;17018;15316
105737;63141;17559;15803
105737;63143;18135;16322
105737;63145;18441;16597
105737;63147;18828;16945
105737;63149;19239;17315
105737;63151;19469;17522
105737;63155;19020;17118
105737;63157;18406;16565
105737;63159;17820;16038
105737;63161;17458;15712
105737;63163;16949;15254
105737;63167;16505;14855
105737;63171;14325;12893
105737;63173;13842;12458
105737;63175;13506;12155
105737;63177;12723;11451
105737;63179;12490;11241
105737;63183;10929;9836
105737;63185;10953;9858
105737;63187;11820;10638
105737;63189;12328;11095
105737;63191;12686;11417
105737;63193;12990;11691
105737;63195;12552;11296
105737;63197;19741;17767
105737;63201;7721;6949
105737;63203;7150;6435
105737;63205;6809;6128
105737;63207;6532;5879
105737;63209;4550;4095
105737;63211;4984;4485
105737;63213;5970;5373
105737;63215;6440;5796
105737;63265;8179;7361
105737;63267;11946;10751
105737;63277;19408;17467
105737;63300;15034;13530
105737;63314;15341;13807
105737;63330;18219;16397
105737;63501;10245;9221
105737;63503;9300;8370
105737;63505;8596;7736
105737;63507;8244;7420
105737;63509;7582;6824
105737;63511;7300;6570
105737;63513;7043;6339
105737;63515;6806;6126
105737;63517;6911;6220
105737;63519;7443;6699
